source,target
KSPA1W2-3F1-2B4-GN2-2A,KSPA1W2-3F1-2B4-XN4-3A
KSPA1W2-3F1-2B4-LN4-1A,KSPA1W2-3F1-2B4-XN4-1A
KSPA1W2-3F1-2B4-LN4-1B,KSPA1W2-3F1-2B4-LN4-1A
KSPA1W2-3F1-2B4-MN4-1A,KSPA1W2-3F1-2B4-FN4-1A
KSPA1W2-3F1-2B4-MN4-2A,KSPA1W2-3F1-2B4-FN4-1A
KSPA1W2-3F1-2B4-XN4-1A,KSPA1W2-3F1-2B4-FN4-1A
KSPA1W2-3F1-2B4-XN4-2A,KSPA1W2-3F1-2B4-FN4-1A
KSPA1W2-3F1-2B4-XN4-3A,KSPA1W2-3F1-2B4-MN4-2A
KSPA1W2-3F1-2B5-FN4-1A,KSPA1W2-3F1-SUBN4-2
KSPA1W2-3F1-SUBN4-1,KSPA1W2-3F1-XN7-1
KSPA1W2-3F1-SUBN4-2,KSPA1W2-3F1-XN7-2
KSPA1W2-3F1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3F1-XN7-1,KSPA1W2-3F1-SWGN7-1
KSPA1W2-3F1-XN7-2,KSPA1W2-3F1-SWGN7-1
KSPA1W2-3G1-1A3-FN4-1A,KSPA1W2-3G1-SUBN4-1
KSPA1W2-3G1-1A3-GN2-1A,KSPA1W2-3G1-1A3-XN4-2A
KSPA1W2-3G1-1A3-LN4-1A,KSPA1W2-3G1-1A3-XN4-1A
KSPA1W2-3G1-1A3-MN4-1A,KSPA1W2-3G1-1A3-FN4-1A
KSPA1W2-3G1-1A3-XN4-1A,KSPA1W2-3G1-1A3-FN4-1A
KSPA1W2-3G1-1A3-XN4-2A,KSPA1W2-3G1-1A3-FN4-1A
KSPA1W2-3G1-1B4-FN4-1A,KSPA1W2-3G1-SUBN4-1
KSPA1W2-3G1-1B4-GN2-1A,KSPA1W2-3G1-1B4-XN4-1A
KSPA1W2-3G1-1B4-GN2-1B,KSPA1W2-3G1-1B4-GN2-1A
KSPA1W2-3G1-1B4-MN4-1A,KSPA1W2-3G1-1B4-FN4-1A
KSPA1W2-3G1-1B4-XN4-1A,KSPA1W2-3G1-1B4-FN4-1A
KSPA1W2-3G1-1B5-FN4-1A,KSPA1W2-3G1-SUBN4-1
KSPA1W2-3G1-1B5-GN2-1A,KSPA1W2-3G1-1B5-XN4-1A
KSPA1W2-3G1-1B5-LN4-1A,KSPA1W2-3G1-1B5-XN4-2A
KSPA1W2-3G1-1B5-XN4-1A,KSPA1W2-3G1-1B5-FN4-1A
KSPA1W2-3G1-1B5-XN4-2A,KSPA1W2-3G1-1B5-FN4-1A
KSPA1W2-3G1-1C8-FN4-1A,KSPA1W2-3G1-SUBN4-1
KSPA1W2-3G1-1C8-GN2-1A,KSPA1W2-3G1-1C8-XN4-2A
KSPA1W2-3G1-1C8-LN4-1A,KSPA1W2-3G1-1C8-XN4-1A
KSPA1W2-3G1-1C8-MN4-1A,KSPA1W2-3G1-1C8-FN4-1A
KSPA1W2-3G1-1C8-XN4-1A,KSPA1W2-3G1-1C8-FN4-1A
KSPA1W2-3G1-1C8-XN4-2A,KSPA1W2-3G1-1C8-FN4-1A
KSPA1W2-3G1-2B6-FN4-1A,KSPA1W2-3G1-SUBN4-2
KSPA1W2-3G1-2B6-GN2-1A,KSPA1W2-3G1-2B6-XN4-2A
KSPA1W2-3G1-2B6-GN2-2A,KSPA1W2-3G1-2B6-XN4-3A
KSPA1W2-3G1-2B6-LN4-1A,KSPA1W2-3G1-2B6-XN4-1A
KSPA1W2-3G1-2B6-MN4-1A,KSPA1W2-3G1-2B6-FN4-1A
KSPA1W2-3G1-2B6-MN4-2A,KSPA1W2-3G1-2B6-FN4-1A
KSPA1W2-3G1-2B6-XN4-1A,KSPA1W2-3G1-2B6-FN4-1A
KSPA1W2-3G1-2B6-XN4-2A,KSPA1W2-3G1-2B6-FN4-1A
KSPA1W2-3G1-2B6-XN4-3A,KSPA1W2-3G1-2B6-MN4-2A
KSPA1W2-3G1-SUBN4-1,KSPA1W2-3G1-XN7-1
KSPA1W2-3G1-SUBN4-2,KSPA1W2-3G1-XN7-2
KSPA1W2-3G1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3G1-XN7-1,KSPA1W2-3G1-SWGN7-1
KSPA1W2-3G1-XN7-2,KSPA1W2-3G1-SWGN7-1
KSPA1W2-3L1-1A2-FN4-1A,KSPA1W2-3L1-SUBN4-1
KSPA1W2-3L1-1A2-GN2-1A,KSPA1W2-3L1-1A2-XN4-1A
KSPA1W2-3L1-1A2-MN4-1A,KSPA1W2-3L1-1A2-FN4-1A
KSPA1W2-3L1-1A2-XN4-1A,KSPA1W2-3L1-1A2-FN4-1A
KSPA1W2-3L1-1A3-FN4-1A,KSPA1W2-3L1-SUBN4-1
KSPA1W2-3L1-1B4-FN4-1A,KSPA1W2-3L1-SUBN4-1
KSPA1W2-3L1-1B4-GN2-1A,KSPA1W2-3L1-1B4-XN4-2A
KSPA1W2-3L1-1B4-LN4-1A,KSPA1W2-3L1-1B4-XN4-1A
KSPA1W2-3L1-1B4-MN4-1A,KSPA1W2-3L1-1B4-FN4-1A
KSPA1W2-3L1-1B4-MN4-2A,KSPA1W2-3L1-1B4-FN4-1A
KSPA1W2-3L1-1B4-XN4-1A,KSPA1W2-3L1-1B4-FN4-1A
KSPA1W2-3L1-1B4-XN4-2A,KSPA1W2-3L1-1B4-FN4-1A
KSPA1W2-3L1-1C9-FN4-1A,KSPA1W2-3L1-SUBN4-1
KSPA1W2-3L1-1C9-GN2-1A,KSPA1W2-3L1-1C9-XN4-1A
KSPA1W2-3L1-1C9-LN4-1A,KSPA1W2-3L1-1C9-XN4-2A
KSPA1W2-3L1-1C9-MN4-1A,KSPA1W2-3L1-1C9-FN4-1A
KSPA1W2-3L1-1C9-XN4-1A,KSPA1W2-3L1-1C9-FN4-1A
KSPA1W2-3L1-1C9-XN4-2A,KSPA1W2-3L1-1C9-FN4-1A
KSPA1W2-3L1-2A3-FN4-1A,KSPA1W2-3L1-SUBN4-2
KSPA1W2-3L1-2A3-GN2-1A,KSPA1W2-3L1-2A3-XN4-1A
KSPA1W2-3L1-2A3-GN2-1B,KSPA1W2-3L1-2A3-GN2-1A
KSPA1W2-3L1-2A3-GN2-1C,KSPA1W2-3L1-2A3-GN2-1A
KSPA1W2-3L1-2A3-MN4-1A,KSPA1W2-3L1-2A3-FN4-1A
KSPA1W2-3L1-2A3-XN4-1A,KSPA1W2-3L1-2A3-FN4-1A
KSPA1W2-3L1-2B4-FN4-1A,KSPA1W2-3L1-SUBN4-2
KSPA1W2-3L1-2B4-GN2-1A,KSPA1W2-3L1-2B4-XN4-2A
KSPA1W2-3L1-2B4-GN2-1B,KSPA1W2-3L1-2B4-GN2-1A
KSPA1W2-3L1-2B4-LN4-1A,KSPA1W2-3L1-2B4-XN4-1A
KSPA1W2-3L1-2B4-MN4-1A,KSPA1W2-3L1-2B4-FN4-1A
KSPA1W2-3L1-2B4-XN4-1A,KSPA1W2-3L1-2B4-FN4-1A
KSPA1W2-3L1-2B4-XN4-2A,KSPA1W2-3L1-2B4-FN4-1A
KSPA1W2-3L1-2B5-FN4-1A,KSPA1W2-3L1-SUBN4-2
KSPA1W2-3L1-2B5-MN4-1A,KSPA1W2-3L1-2B5-FN4-1A
KSPA1W2-3L1-SUBN4-1,KSPA1W2-3L1-XN7-1
KSPA1W2-3L1-SUBN4-2,KSPA1W2-3L1-XN7-2
KSPA1W2-3L1-SWGN7-1,KSPA1EB-3-SWGN7
KSPA1W2-3L1-XN7-1,KSPA1W2-3L1-SWGN7-1
KSPA1W2-3L1-XN7-2,KSPA1W2-3L1-SWGN7-1
KSPA1W2-4A1-SUBN4-1,KSPA1W2-4A1-XN7-1
KSPA1W2-4A1-SUBN4-2,KSPA1W2-4A1-XN7-2
KSPA1W2-4A1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4A1-XN7-1,KSPA1W2-4A1-SWGN7-1
KSPA1W2-4A1-XN7-2,KSPA1W2-4A1-SWGN7-1
KSPA1W2-4B1-SUBN4-1,KSPA1W2-4B1-XN7-1
KSPA1W2-4B1-SUBN4-2,KSPA1W2-4B1-XN7-2
KSPA1W2-4B1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4B1-XN7-1,KSPA1W2-4B1-SWGN7-1
KSPA1W2-4B1-XN7-2,KSPA1W2-4B1-SWGN7-1
KSPA1W2-4C1-SUBN4-1,KSPA1W2-4C1-XN7-1
KSPA1W2-4C1-SUBN4-2,KSPA1W2-4C1-XN7-2
KSPA1W2-4C1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4C1-XN7-1,KSPA1W2-4C1-SWGN7-1
KSPA1W2-4C1-XN7-2,KSPA1W2-4C1-SWGN7-1
KSPA1W2-4D1-SUBN4-1,KSPA1W2-4D1-XN7-1
KSPA1W2-4D1-SUBN4-2,KSPA1W2-4D1-XN7-2
KSPA1W2-4D1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4D1-XN7-1,KSPA1W2-4D1-SWGN7-1
KSPA1W2-4D1-XN7-2,KSPA1W2-4D1-SWGN7-1
KSPA1W2-4F1-SUBN4-1,KSPA1W2-4F1-XN7-1
KSPA1W2-4F1-SUBN4-2,KSPA1W2-4F1-XN7-2
KSPA1W2-4F1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4F1-XN7-1,KSPA1W2-4F1-SWGN7-1
KSPA1W2-4F1-XN7-2,KSPA1W2-4F1-SWGN7-1
KSPA1W2-4G1-1B5-FN4-1A,KSPA1W2-4G1-SUBN4-1
KSPA1W2-4G1-SUBN4-1,KSPA1W2-4G1-XN7-1
KSPA1W2-4G1-SUBN4-2,KSPA1W2-4G1-XN7-2
KSPA1W2-4G1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4G1-XN7-1,KSPA1W2-4G1-SWGN7-1
KSPA1W2-4G1-XN7-2,KSPA1W2-4G1-SWGN7-1
KSPA1W2-4K1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4K1-XN7-1,KSPA1W2-4K1-SWGN7-1
KSPA1W2-4L1-SUBN4-1,KSPA1W2-4L1-XN7-1
KSPA1W2-4L1-SUBN4-2,KSPA1W2-4L1-XN7-2
KSPA1W2-4L1-SWGN7-1,KSPA1EB-4-SWGN7
KSPA1W2-4L1-XN7-1,KSPA1W2-4L1-SWGN7-1
KSPA1W2-4L1-XN7-2,KSPA1W2-4L1-SWGN7-1
KSPA1W2-8J1-1A1-DE1-1A,KSPA1W2-BATT-A/C
KSPA1W2-8J1-1A1-DE1-2A,KSPA1W2-BATT-B/D
KSPA1W2-8J1-1A1-FE4-1A,KSPA1W2-8J1-SUBE4-1
KSPA1W2-8J1-1A1-GE2-1A,KSPA1W2-8J1-1A1-XE4-2A
KSPA1W2-8J1-1A1-GE2-1B,KSPA1W2-8J1-1A1-GE2-1A
KSPA1W2-8J1-1A1-GE2-2A,KSPA1W2-8J1-1A1-XE4-11A
KSPA1W2-8J1-1A1-GE2-2B,KSPA1W2-8J1-1A1-GE2-2A
KSPA1W2-8J1-1A1-GE2-3A,KSPA1W2-8J1-1A1-XE4-6A
KSPA1W2-8J1-1A1-GE2-3B,KSPA1W2-8J1-1A1-GE2-3A
KSPA1W2-8J1-1A1-GE2-3C,KSPA1W2-8J1-1A1-GE2-3A
KSPA1W2-8J1-1A1-GE2-3D,KSPA1W2-8J1-1A1-GE2-3A
KSPA1W2-8J1-1A1-GE2-4A,KSPA1W2-8J1-1A1-XE4-4A
KSPA1W2-8J1-1A1-GE2-4B,KSPA1W2-8J1-1A1-GE2-4A
KSPA1W2-8J1-1A1-GE2-5A,KSPA1W2-8J1-1A1-XE4-8A
KSPA1W2-8J1-1A1-GE2-5B,KSPA1W2-8J1-1A1-GE2-5A
KSPA1W2-8J1-1A1-GE2-6A,KSPA1W2-8J1-1A1-XE4-9A
KSPA1W2-8J1-1A1-GE2-6B,KSPA1W2-8J1-1A1-GE2-6A
KSPA1W2-8J1-1A1-GE2-6C,KSPA1W2-8J1-1A1-GE2-6A
KSPA1W2-8J1-1A1-GE2-7A,KSPA1W2-8J1-1A1-XE4-12A
KSPA1W2-8J1-1A1-GE2-7B,KSPA1W2-8J1-1A1-GE2-7A
KSPA1W2-8J1-1A1-GE2-7C,KSPA1W2-8J1-1A1-GE2-7A
KSPA1W2-8J1-1A1-GE2-7D,KSPA1W2-8J1-1A1-GE2-7A
KSPA1W2-8J1-1A1-GE2-7E,KSPA1W2-8J1-1A1-GE2-7A
KSPA1W2-8J1-1A1-INVE4-1A,KSPA1W2-8J1-1A1-XE4-1A
KSPA1W2-8J1-1A1-INVE4-2A,KSPA1W2-8J1-1A1-ME4-1A
KSPA1W2-8J1-1A1-INVE4-3A,KSPA1W2-8J1-1A1-XE4-3A
KSPA1W2-8J1-1A1-INVE4-4A,KSPA1W2-8J1-1A1-XE4-5A
KSPA1W2-8J1-1A1-INVE4-5A,KSPA1W2-8J1-1A1-XE4-7A
KSPA1W2-8J1-1A1-INVE4-6A,KSPA1W2-8J1-1A1-ME4-1A
KSPA1W2-8J1-1A1-INVE4-7A,KSPA1W2-8J1-1A1-XE4-13A
KSPA1W2-8J1-1A1-ME4-1A,KSPA1W2-8J1-1A1-XE4-10A
KSPA1W2-8J1-1A1-ME4-2A,KSPA1W2-8J1-1A1-FE4-1A
KSPA1W2-8J1-1A1-ME4-3A,KSPA1W2-8J1-1A1-FE4-1A
KSPA1W2-8J1-1A1-ME4-4A,KSPA1W2-8J1-1A1-FE4-1A
KSPA1W2-8J1-1A1-ME4-4B,KSPA1W2-8J1-1A1-ME4-4A
KSPA1W2-8J1-1A1-ME4-5A,KSPA1W2-8J1-1A1-FE4-1A
KSPA1W2-8J1-1A1-XE4-1A,KSPA1W2-8J1-1A1-ME4-4B
KSPA1W2-8J1-1A1-XE4-2A,KSPA1W2-8J1-1A1-ME4-4B
KSPA1W2-8J1-1A1-XE4-3A,KSPA1W2-8J1-1A1-ME4-2A
KSPA1W2-8J1-1A1-XE4-4A,KSPA1W2-8J1-1A1-ME4-2A
KSPA1W2-8J1-1A1-XE4-5A,KSPA1W2-8J1-1A1-ME4-3A
KSPA1W2-8J1-1A1-XE4-6A,KSPA1W2-8J1-1A1-ME4-3A
KSPA1W2-8J1-1A1-XE4-7A,KSPA1W2-8J1-1A1-ME4-4A
KSPA1W2-8J1-1A1-XE4-8A,KSPA1W2-8J1-1A1-ME4-4A
KSPA1W2-8J1-1A1-XE4-9A,KSPA1W2-8J1-1A1-ME4-1A
KSPA1W2-8J1-1A1-XE4-10A,KSPA1W2-8J1-1A1-FE4-1A
KSPA1W2-8J1-1A1-XE4-11A,KSPA1W2-8J1-1A1-ME4-1A
KSPA1W2-8J1-1A1-XE4-12A,KSPA1W2-8J1-1A1-ME4-5A
KSPA1W2-8J1-1A1-XE4-13A,KSPA1W2-8J1-1A1-ME4-5A
KSPA1W2-8J1-1A3-DE1-1A,KSPA1W2-BATT-L
KSPA1W2-8J1-1A3-DE1-2A,KSPA1W2-BATT-G
KSPA1W2-8J1-1A3-FE4-1A,KSPA1W2-8J1-SUBE4-1
KSPA1W2-8J1-1A3-GE2-1A,KSPA1W2-8J1-1A3-XE4-13A
KSPA1W2-8J1-1A3-GE2-1B,KSPA1W2-8J1-1A3-GE2-1A
KSPA1W2-8J1-1A3-GE2-1C,KSPA1W2-8J1-1A3-GE2-1A
KSPA1W2-8J1-1A3-GE2-2A,KSPA1W2-8J1-1A3-XE4-16A
KSPA1W2-8J1-1A3-GE2-2B,KSPA1W2-8J1-1A3-GE2-2A
KSPA1W2-8J1-1A3-GE2-4A,KSPA1W2-8J1-1A3-XE4-2A
KSPA1W2-8J1-1A3-GE2-4B,KSPA1W2-8J1-1A3-GE2-4A
KSPA1W2-8J1-1A3-GE2-5A,KSPA1W2-8J1-1A3-XE4-5A
KSPA1W2-8J1-1A3-GE2-6A,KSPA1W2-8J1-1A3-XE4-1A
KSPA1W2-8J1-1A3-GE2-7A,KSPA1W2-8J1-1A3-XE4-10A
KSPA1W2-8J1-1A3-GE2-7B,KSPA1W2-8J1-1A3-GE2-7A
KSPA1W2-8J1-1A3-GE2-7C,KSPA1W2-8J1-1A3-GE2-7A
KSPA1W2-8J1-1A3-INVE4-4A,KSPA1W2-8J1-1A3-XE4-15A
KSPA1W2-8J1-1A3-INVE4-5A,KSPA1W2-8J1-1A3-XE4-3A
KSPA1W2-8J1-1A3-INVE4-6A,KSPA1W2-8J1-1A3-XE4-4A
